appid,name,tag_id,tag_name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,review_score_desc,priority
590380,Into the Breach,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.25,12455,461,95.44,796,_ASC,Very Positive,138
332800,Five Nights at Freddy's 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.68,14043,389,93.06,405,Reviews_ASC,Very Positive,139
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,83.6,18101,361,83.93,220,Reviews_ASC,Very Positive,140
645630,Car Mechanic Simulator 2018,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.95,21620,321,83.49,475,Reviews_ASC,Very Positive,141
633230,NARUTO TO BORUTO: SHINOBI STRIKER,9,Strategy,Very Positive,Very Positive,매우 긍정적,83.74,17622,316,61.39,528,Reviews_ASC,Very Positive,142
871720,Ultimate Custom Night,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.8,31651,300,90.33,576,Reviews_DESC,Very Positive,143
787860,Farming Simulator 19,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.45,24001,290,84.48,575,Reviews_DESC,Very Positive,144
589290,Holdfast: Nations At War,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.89,18068,289,84.08,315,Reviews_ASC,Very Positive,145
10500,Total War: EMPIRE – Definitive Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.69,12227,266,86.09,547,Reviews_ASC,Very Positive,146
427730,Who's Your Daddy?!,9,Strategy,Very Positive,Very Positive,매우 긍정적,80.0,16730,240,67.08,428,Reviews_ASC,Very Positive,147
637090,BATTLETECH,9,Strategy,Very Positive,Very Positive,매우 긍정적,83.91,18069,202,74.75,572,_ASC,Very Positive,148
1086940,Baldur's Gate 3,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.8,442253,16272,97.13,14,Reviews_ASC,Overwhelmingly Positive,149
322330,Don't Starve Together,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.02,80921,12830,93.41,28,Reviews_ASC,Overwhelmingly Positive,150
646570,Slay the Spire,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.57,75259,10096,98.2,33,Reviews_DESC,Overwhelmingly Positive,151
8930,Sid Meier's Civilization® V,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.59,78316,8881,95.7,99,Reviews_ASC,Overwhelmingly Positive,152
294100,RimWorld,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.88,117032,8060,98.09,9,Reviews_ASC,Overwhelmingly Positive,153
