appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
304410,Hexcells Infinite,90-100,97.0,214,95.79,115,Overwhelmingly Positive,210
8800,Civilization IV: Beyond the Sword,90-100,96.0,113,91.15,117,Overwhelmingly Positive,211
2749770,Galaxy Burger,90-100,96.0,210,97.14,124,Overwhelmingly Positive,212
322330,Don't Starve Together,90-100,95.0,12831,93.41,158,Overwhelmingly Positive,213
435150,Divinity: Original Sin 2 - Definitive Edition,90-100,95.0,4007,94.91,159,Overwhelmingly Positive,214
813780,Age of Empires II: Definitive Edition,90-100,95.0,2074,89.2,160,Overwhelmingly Positive,215
8930,Sid Meier's Civilization® V,90-100,95.0,8880,95.7,161,Overwhelmingly Positive,216
220200,Kerbal Space Program,90-100,96.0,1073,95.62,162,Overwhelmingly Positive,217
1313140,Cult of the Lamb,90-100,96.0,2615,93.31,163,Overwhelmingly Positive,218
2835570,Buckshot Roulette,90-100,96.0,2137,94.29,164,Overwhelmingly Positive,219
346010,Besiege,90-100,95.0,1462,93.37,165,Overwhelmingly Positive,220
286160,Tabletop Simulator,90-100,96.0,2562,95.12,166,Overwhelmingly Positive,221
2161700,Persona 3 Reload,90-100,96.0,1860,93.6,167,Overwhelmingly Positive,222
1062090,Timberborn,90-100,96.0,762,94.62,168,Overwhelmingly Positive,223
4700,Total War: MEDIEVAL II – Definitive Edition,90-100,95.0,307,93.16,169,Overwhelmingly Positive,224
1127400,Mindustry,90-100,94.0,751,94.54,170,Very Positive,225
1102190,Monster Train,90-100,96.0,258,93.8,171,Overwhelmingly Positive,226
287980,Mini Metro,90-100,95.0,663,95.02,173,Overwhelmingly Positive,227
1473350,(the) Gnorp Apologue,90-100,95.0,106,89.62,175,Overwhelmingly Positive,228
2185060,Two Point Museum,90-100,95.0,361,92.8,176,Overwhelmingly Positive,229
2742830,Monster Train 2,90-100,95.0,173,94.22,179,Overwhelmingly Positive,230
2060160,The Farmer Was Replaced,90-100,95.0,396,94.7,180,Overwhelmingly Positive,231
1062160,Poly Bridge 2,90-100,96.0,403,92.8,182,Overwhelmingly Positive,232
816340,Kingdom Rush Origins - Tower Defense,90-100,94.0,123,92.68,183,Very Positive,233
266010,LYNE,90-100,95.0,197,90.86,184,Overwhelmingly Positive,234
1215390,Animal Revolt Battle Simulator,90-100,95.0,148,96.62,188,Overwhelmingly Positive,235
2084000,Shogun Showdown,90-100,97.0,223,92.38,191,Overwhelmingly Positive,236
247020,"Cook, Serve, Delicious!",90-100,95.0,124,95.16,195,Overwhelmingly Positive,237
2026000,Our Adventurer Guild,90-100,95.0,387,95.35,202,Overwhelmingly Positive,238
1694420,Card Survival: Tropical Island,90-100,94.0,244,94.26,203,Very Positive,239
271900,Hexcells Plus,90-100,95.0,128,94.53,208,Overwhelmingly Positive,240
355980,Dungeon Warfare,90-100,95.0,171,94.74,214,Overwhelmingly Positive,241
2492290,Uncover the Smoking Gun,90-100,96.0,345,97.68,408,Very Positive,242
4028640,DEFRAG,90-100,95.0,100,96.0,494,Very Positive,243
4311000,"Trust Me, I Nailed It",90-100,95.0,124,99.19,502,Very Positive,244
787860,Farming Simulator 19,90-100,93.0,290,84.48,578,Very Positive,245
871720,Ultimate Custom Night,90-100,94.0,300,90.33,579,Very Positive,246
212680,FTL: Faster Than Light,90-100,95.0,1720,94.42,580,Overwhelmingly Positive,247
602960,Barotrauma,90-100,95.0,539,87.94,581,Overwhelmingly Positive,248
246620,Plague Inc: Evolved,90-100,93.0,1063,92.47,582,Very Positive,249
568220,Lobotomy Corporation | Monster Management Simulation,90-100,93.0,9524,89.71,583,Very Positive,250
1256670,Library Of Ruina,90-100,96.0,7142,90.34,585,Overwhelmingly Positive,251
1876890,Wandering Sword,90-100,95.0,220,93.64,586,Overwhelmingly Positive,252
1336490,Against the Storm,90-100,95.0,1590,94.91,587,Overwhelmingly Positive,253
975370,Dwarf Fortress,90-100,94.0,104,94.23,588,Very Positive,254
630,Alien Swarm,90-100,94.0,454,92.51,589,Very Positive,255
590380,Into the Breach,90-100,93.0,461,95.44,590,Very Positive,256
1599600,PlateUp!,90-100,96.0,526,94.87,591,Overwhelmingly Positive,257
1012880,60 Seconds! Reatomized,90-100,95.0,633,92.73,592,Overwhelmingly Positive,258
463530,Empires of the Undergrowth,90-100,95.0,187,86.63,593,Overwhelmingly Positive,259
1046030,ISLANDERS,90-100,95.0,260,90.0,595,Overwhelmingly Positive,260
1488200,Symphony of War: The Nephilim Saga,90-100,94.0,759,93.02,596,Very Positive,261
228200,Company of Heroes,90-100,94.0,709,90.27,597,Very Positive,262
799600,Cosmoteer: Starship Architect & Commander,90-100,94.0,100,97.0,598,Very Positive,263
306020,Bloons TD 5,90-100,94.0,134,91.04,603,Very Positive,264
1054490,Wingspan,90-100,95.0,193,90.16,604,Overwhelmingly Positive,265
1367550,Kingdom Rush Vengeance - Tower Defense,90-100,90.0,115,82.61,605,Very Positive,266
962400,Granny,90-100,93.0,139,92.81,606,Very Positive,267
1735700,Back to the Dawn,90-100,95.0,242,95.45,607,Overwhelmingly Positive,268
533300,Zup!,90-100,92.0,267,95.13,608,Very Positive,269
248610,Door Kickers,90-100,92.0,313,94.57,609,Very Positive,270
351920,Crazy Machines 3,90-100,93.0,213,92.02,612,Very Positive,271
