tag_id,tag_name,appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort
9,Strategy,1046030,ISLANDERS,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,10204,260,90.0,592,Reviews_DESC
9,Strategy,2162800,shapez 2 - Factory,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,8410,254,95.28,52,Reviews_DESC
9,Strategy,1318690,shapez,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,8262,323,95.67,616,_ASC
9,Strategy,2795000,The WereCleaner,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,99.0,8155,226,99.12,1,Reviews_DESC
9,Strategy,341800,Keep Talking and Nobody Explodes,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.0,8013,383,96.08,49,Reviews_DESC
9,Strategy,1239080,Door Kickers 2: Task Force North,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,7739,290,94.83,96,Reviews_DESC
9,Strategy,3265700,Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,7638,268,91.79,42,Reviews_ASC
9,Strategy,287980,Mini Metro,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,6960,663,95.02,172,Reviews_DESC
9,Strategy,2666510,Rusty's Retirement,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,6476,779,96.92,95,Reviews_DESC
9,Strategy,1012880,60 Seconds! Reatomized,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,5205,633,92.73,234,Reviews_ASC
9,Strategy,3320,Insaniquarium Deluxe,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,4754,222,85.14,107,Reviews_DESC
9,Strategy,2185060,Two Point Museum,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,4667,361,92.8,71,Reviews_ASC
9,Strategy,246420,Kingdom Rush  - Tower Defense,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,4543,293,96.59,50,Reviews_DESC
9,Strategy,1062160,Poly Bridge 2,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,4489,403,92.8,180,Reviews_DESC
9,Strategy,610370,Desperados III,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,4311,1054,97.34,97,Reviews_DESC
9,Strategy,2060160,The Farmer Was Replaced,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,3746,397,94.71,120,Reviews_ASC
9,Strategy,3862670,Shelldiver,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.0,3611,1029,99.32,8,Reviews_DESC
9,Strategy,730,Counter-Strike 2,Very Positive,Very Positive,매우 긍정적,86.0,2549879,25699,80.17,1,Reviews_ASC
9,Strategy,570,Dota 2,Very Positive,Very Positive,매우 긍정적,88.0,829381,5169,76.09,22,Reviews_ASC
9,Strategy,359550,Tom Clancy's Rainbow Six Siege,Very Positive,Very Positive,매우 긍정적,82.0,785810,52584,79.67,8,_ASC
9,Strategy,322170,Geometry Dash,Very Positive,Very Positive,매우 긍정적,93.0,280347,6885,88.76,73,Reviews_ASC
9,Strategy,218620,PAYDAY 2,Very Positive,Very Positive,매우 긍정적,87.0,174500,8578,80.4,68,Reviews_ASC
9,Strategy,648800,Raft,Very Positive,Very Positive,매우 긍정적,93.0,128651,10557,90.68,19,Reviews_ASC
9,Strategy,251570,7 Days to Die,Very Positive,Very Positive,매우 긍정적,85.0,124456,3865,86.18,48,Reviews_ASC
9,Strategy,394360,Hearts of Iron IV,Very Positive,Very Positive,매우 긍정적,91.0,121906,7426,88.39,20,Reviews_ASC
9,Strategy,107410,Arma 3,Very Positive,Very Positive,매우 긍정적,91.0,110535,2893,81.23,212,Reviews_ASC
9,Strategy,289070,Sid Meier’s Civilization® VI,Very Positive,Very Positive,매우 긍정적,84.0,106356,12309,89.42,47,Reviews_ASC
9,Strategy,255710,Cities: Skylines,Very Positive,Very Positive,매우 긍정적,92.0,99687,6552,93.38,56,Reviews_ASC
9,Strategy,261550,Mount & Blade II: Bannerlord,Very Positive,Very Positive,매우 긍정적,87.0,97015,4877,82.84,25,_ASC
9,Strategy,393380,Squad,Very Positive,Very Positive,매우 긍정적,84.0,82688,1117,75.65,178,Reviews_ASC
9,Strategy,281990,Stellaris,Very Positive,Very Positive,매우 긍정적,86.0,75695,2301,89.09,35,Reviews_ASC
9,Strategy,244850,Space Engineers,Very Positive,Very Positive,매우 긍정적,89.0,67390,528,85.61,302,Reviews_ASC
9,Strategy,518790,theHunter: Call of the Wild™,Very Positive,Very Positive,매우 긍정적,90.0,62326,2659,84.66,66,Reviews_ASC
9,Strategy,686810,Hell Let Loose,Very Positive,Very Positive,매우 긍정적,83.0,61818,1008,73.51,100,Reviews_ASC
9,Strategy,262060,Darkest Dungeon®,Very Positive,Very Positive,매우 긍정적,90.0,56109,9199,85.77,114,Reviews_ASC
9,Strategy,2868840,Slay the Spire 2,Very Positive,Very Positive,매우 긍정적,94.0,53286,4009,87.8,4,_ASC
9,Strategy,674940,Stick Fight: The Game,Very Positive,Very Positive,매우 긍정적,94.0,52491,858,91.03,414,Reviews_ASC
9,Strategy,594570,Total War: WARHAMMER II,Very Positive,Very Positive,매우 긍정적,93.0,50705,3500,94.69,79,Reviews_ASC
9,Strategy,208650,Batman™: Arkham Knight,Very Positive,Very Positive,매우 긍정적,92.0,49724,2200,77.91,313,_ASC
9,Strategy,1158310,Crusader Kings III,Very Positive,Very Positive,매우 긍정적,90.0,49089,3691,93.04,17,Reviews_ASC
9,Strategy,203770,Crusader Kings II,Very Positive,Very Positive,매우 긍정적,91.0,47697,1054,91.37,563,Reviews_ASC
9,Strategy,236850,Europa Universalis IV,Very Positive,Very Positive,매우 긍정적,87.0,47533,1542,87.29,139,Reviews_ASC
9,Strategy,218230,PlanetSide 2,Very Positive,Very Positive,매우 긍정적,81.0,47371,802,76.43,675,Reviews_ASC
9,Strategy,1973530,Limbus Company,Very Positive,Very Positive,매우 긍정적,92.0,45908,17332,83.8,5,Reviews_ASC
9,Strategy,268500,XCOM® 2,Very Positive,Very Positive,매우 긍정적,85.0,44522,4048,87.85,230,Reviews_ASC
9,Strategy,703080,Planet Zoo,Very Positive,Very Positive,매우 긍정적,91.0,41873,1596,84.15,61,_ASC
9,Strategy,240720,Getting Over It with Bennett Foddy,Very Positive,Very Positive,매우 긍정적,84.0,41113,3905,75.16,246,Reviews_ASC
9,Strategy,305620,The Long Dark,Very Positive,Very Positive,매우 긍정적,87.0,40372,3849,87.53,226,Reviews_ASC
9,Strategy,1363080,Manor Lords,Very Positive,Very Positive,매우 긍정적,87.0,38687,1109,73.58,72,Reviews_ASC
9,Strategy,323190,Frostpunk,Very Positive,Very Positive,매우 긍정적,92.0,38447,5187,94.56,116,Reviews_ASC
9,Strategy,460930,Tom Clancy's Ghost Recon® Wildlands,Very Positive,Very Positive,매우 긍정적,80.0,37467,2427,74.7,304,Reviews_ASC
9,Strategy,356190,Middle-earth™: Shadow of War™,Very Positive,Very Positive,매우 긍정적,88.0,36133,1798,74.25,225,Reviews_ASC
9,Strategy,233450,Prison Architect,Very Positive,Very Positive,매우 긍정적,88.0,33867,1197,86.97,348,Reviews_ASC
9,Strategy,588430,Fallout Shelter,Very Positive,Very Positive,매우 긍정적,85.0,32592,569,82.6,464,Reviews_ASC
9,Strategy,214950,Total War: ROME II - Emperor Edition,Very Positive,Very Positive,매우 긍정적,85.0,31777,762,89.9,206,Reviews_ASC
9,Strategy,871720,Ultimate Custom Night,Very Positive,Very Positive,매우 긍정적,94.0,31651,300,90.33,576,Reviews_DESC
9,Strategy,493340,Planet Coaster,Very Positive,Very Positive,매우 긍정적,90.0,31112,2065,90.07,351,Reviews_ASC
9,Strategy,1238860,Battlefield 4™,Very Positive,Very Positive,매우 긍정적,83.0,28969,1620,70.93,427,Reviews_ASC
9,Strategy,231430,Company of Heroes 2,Very Positive,Very Positive,매우 긍정적,84.0,28323,2255,75.48,313,Reviews_ASC
9,Strategy,1466860,Age of Empires IV: Anniversary Edition,Very Positive,Very Positive,매우 긍정적,86.0,28072,1221,85.75,21,Reviews_ASC
9,Strategy,246620,Plague Inc: Evolved,Very Positive,Very Positive,매우 긍정적,93.0,25946,1063,92.47,78,Reviews_ASC
9,Strategy,200510,XCOM: Enemy Unknown,Very Positive,Very Positive,매우 긍정적,92.0,24872,1600,94.88,772,Reviews_ASC
9,Strategy,787860,Farming Simulator 19,Very Positive,Very Positive,매우 긍정적,93.0,24001,290,84.48,575,Reviews_DESC
9,Strategy,648350,Jurassic World Evolution,Very Positive,Very Positive,매우 긍정적,86.0,23330,1215,81.56,443,Reviews_ASC
9,Strategy,466560,Northgard: Definitive Edition,Very Positive,Very Positive,매우 긍정적,84.0,23092,867,76.82,278,Reviews_ASC
9,Strategy,282070,This War of Mine,Very Positive,Very Positive,매우 긍정적,92.0,22909,3935,95.2,259,Reviews_ASC
